name,m,e,a,i,Omega,omega,perihelion,period
Mercury,3.30E+23,0.20563,0.33871,7.005,48.331,29.124000000000002,80044,87.96
Venus,4.87E+24,0.006772,0.723332,3.3939999999999997,76.68,54.88399999999999,79983,225.0
Earth,5.97E+24,0.016708599999999997,1.000001,0.0,-11.261,114.20700000000001,79990,365.24
Mars,6.42E+23,0.0934,1.523676,1.85,49.558,286.502,79884,687.0
Ceres,9.393+20,0.07823,2.7675,10.593,80.3293,72.52199999999999,79743,1681.63
Jupiter,1.90E+27,0.048498,5.2026,1.3030000000000002,100.464,273.867,77141,4333.0
Saturn,5.68E+26,0.05555,9.554909,2.485,114.0,339.392,74336,10775.69
Halley,2.20E+14,0.9670000000000001,17.8,162.3,55.6,109.2,67971,27503.0
Uranus,8.68E+25,0.046381,19.2184,0.773,74.0,96.999,61022,30688.0
Neptune,1.02E+26,0.009456,30.110307000000002,1.768,132.0,276.336,30213,60182.0
Pluto ,1.313+22,0.2488,39.48,17.16,110.29899999999999,113.834,69278,90560.0
