,Name,Epoch,a,e,i,omega,Omega,M,H,G
0,Ceres,58600,2.7691652,0.07600903,10.59407,73.59769,80.30553,77.3720959,3.34,0.12
1,Pallas,58600,2.7724659,0.23033682,34.83623,310.04886,173.08006,59.69913270000001,4.13,0.11
2,Juno,58600,2.6691495,0.25694232,12.98892,248.13863,169.85276000000005,34.9250159,5.33,0.32
3,Vesta,58600,2.3614179,0.08872146,7.141769999999998,150.72853999999995,103.8108,95.8619362,3.2,0.32
4,Astraea,58600,2.5742489,0.19109452,5.36699,358.68761,141.5766,282.3662913,6.85,0.15
5,Hebe,58600,2.42516,0.20300711,14.7379,239.80749,138.6402,86.19792170000002,5.71,0.24
6,Iris,58600,2.3853338,0.23120579,5.52365,145.2651,259.56323,140.4196554,5.51,0.15
7,Flora,58600,2.2017642,0.15649925,5.88695,285.28746,110.88933,194.8828952,6.49,0.28
8,Metis,58600,2.3856365,0.12311427,5.57682,6.41737,68.90858,276.86161880000003,6.28,0.17
9,Hygiea,58600,3.1415392,0.11246066,3.83156,312.3152100000001,283.20217,152.18485080000005,5.43,0.15
10,Parthenope,58600,2.4531094,0.10047226,4.6298900000000005,195.5504,125.54658,278.9306839,6.55,0.15
11,Victoria,58600,2.3343151,0.22017157,8.37307,69.64180999999999,235.41018,133.3358878,7.24,0.22
12,Egeria,58600,2.5759811,0.08512142,16.53612,80.54483,43.22192,187.4885074,6.74,0.15
13,Irene,58600,2.5855673,0.16658231,9.12164,97.859,86.12266,164.9358531,6.3,0.15
14,Eunomia,58600,2.6441003,0.18608436,11.75243,98.49868,292.93434,283.3876977,5.28,0.23
15,Psyche,58600,2.9238137,0.13356846,3.09601,228.8231,150.04565,288.3358775,5.9,0.2
16,Thetis,58600,2.4703541,0.13303161,5.5912,136.20825,125.55295,303.3643694,7.76,0.15
17,Melpomene,58600,2.2966535,0.21767437,10.12873,227.95085,150.38386,267.2543795,6.51,0.25
18,Fortuna,58600,2.4427107,0.15804685,1.57378,182.06501,211.14405,197.3386259,7.13,0.1
19,Massalia,58600,2.4097818,0.14206669,0.70875,256.77329,206.10883,117.6951205,6.5,0.25
