proper,id,hip,hd,hr,gl,bf,ra,dec,dist,pmra,pmdec,rv,mag,absmag,spect,ci,x,y,z,vx,vy,vz,rarad,decrad,pmrarad,pmdecrad,bayer,flam,con,comp,comp_primary,base,lum,var,var_min,var_max
Sol,0,,,,,,0,0,0,0,0,0,-26.7,4.85,G2V,0.656,5.00E-06,0,0,0,0,0,0,0,0,0,,,,1,0,,1,,,
Proxima Centauri,70666,70890,,,Gl 551,,14.495985,-62.679485,1.2959,-3775.64,768.16,-16,11.01,15.447,M5Ve,1.807,-0.472264,-0.361451,-1.151219,-1.19E-05,2.08E-05,1.68E-05,3.795039917,-1.093963385,-1.83E-05,3.72E-06,,,Cen,1,70666,,5.77E-05,V645,11.079,10.939
Rigil Kentaurus,71456,71683,128620,5459,Gl 559A,Alp1Cen,14.660765,-60.833976,1.3248,-3678.19,481.84,-26.2,-0.01,4.379,G2V,0.71,-0.495203,-0.414084,-1.156625,-7.22E-06,2.48E-05,2.49E-05,3.838179212,-1.061753176,-1.78E-05,2.34E-06,Alp-1,,Cen,1,71456,Gl 559,1.543121066,,0.113,-0.087
Barnard's Star,87665,87937,,,Gl 699,,17.963472,4.693388,1.8238,-797.84,9999.99,-111,9.54,13.235,sdM4,1.57,-0.017373,-1.816613,0.149123,-5.91E-06,0.0001204,7.89E-05,4.702826032,0.081915079,-3.87E-06,5.01E-05,,,Oph,1,87665,,0.000442588,V2500,9.59,9.49
Lalande 21185,53879,54035,95735,,Gl 411,,11.055632,35.969877,2.5469,-580.2,-4767.09,-84.3,7.49,10.46,M2V,1.502,-1.998,0.504305,1.495504,3.59E-05,-1.66E-06,-9.83E-05,2.894357577,0.627792793,-2.81E-06,-2.31E-05,,,UMa,1,53879,,0.005701643,,,
Sirius,32263,32349,48915,2491,Gl 244A,9Alp CMa,6.752481,-16.716116,2.6371,-546.01,-1223.08,-9.4,-1.44,1.454,A0m...,0.009,-0.494323,2.476731,-0.758485,9.53E-06,-1.21E-05,-1.22E-05,1.76779537,-0.291751259,-2.65E-06,-5.93E-06,Alp,9,CMa,1,32263,Gl 244,22.82443312,,-1.333,-1.523
Lacaille 9352,113687,114046,217987,,Gl 887,,23.097531,-35.853073,3.2759,6767.26,1326.66,9.5,7.35,9.773,M2/M3V,1.483,2.581532,-0.621353,-1.918773,4.48E-05,9.97E-05,1.14E-05,6.046919538,-0.625754162,3.28E-05,6.43E-06,,,PsA,1,113687,,0.010734949,,,
Procyon,37173,37279,61421,2943,Gl 280A,10Alp CMi,7.655033,5.224993,3.5142,-716.57,-1034.58,-4,0.4,2.671,F5IV-V,0.432,-1.469312,3.17617,0.320024,1.21E-05,2.89E-06,-1.79E-05,2.004083041,0.091193332,-3.47E-06,-5.02E-06,Alp,10,CMi,1,37173,Gl 280,7.440463662,,,
Luyten's Star,36107,36208,,,Gl 273,,7.456805,5.225785,3.8026,571.27,-3694.25,18.2,9.84,11.94,M5,1.573,-1.409549,3.514856,0.346358,-1.90E-05,1.91E-05,-6.61E-05,1.952186962,0.091207157,2.77E-06,-1.79E-05,,,CMi,1,36107,,0.001458814,,,
Kapteyn's Star,24129,24186,33793,,Gl 191,,5.194169,-45.018417,3.9114,6506.05,-5731.39,245.5,8.86,10.898,M0V,1.543,0.578997,2.705174,-2.76822,-9.95E-05,0.0001243,-0.00025439,1.359830239,-0.785719603,3.15E-05,-2.78E-05,,,Pic,1,24129,,0.003808904,VZ,9.148,8.828
Lacaille 8760,104751,105090,202560,,Gl 825,,21.287725,-38.867362,3.9462,-3259,-1146.99,28.2,6.69,8.709,M1/M2V,1.397,2.330004,-2.003156,-2.476477,-3.41E-05,-5.30E-05,-3.52E-05,5.573113374,-0.678363443,-1.58E-05,-5.56E-06,,,Mic,1,104751,,0.028602237,AX,6.707,6.667
Kruger 60,110547,110893,239960,,Gl 860A,,22.466642,57.695875,4.001,-870.23,-471.1,-33.3,9.59,11.579,M2V,1.613,1.968033,-0.83547,3.381486,-1.62E-05,-1.14E-05,-3.37E-05,5.881753023,1.006982982,-4.22E-06,-2.28E-06,,,Cep,1,110547,Gl 860,0.00203423,DO,9.628,9.548
Van Maanen's Star,3820,3829,,,Gl 35,,0.819416,5.38861,4.2626,1233.05,-2710.56,54,12.37,14.222,DG,0.554,4.146957,0.903519,0.400348,5.35E-05,3.77E-05,-5.06E-05,0.214522514,0.094048979,5.98E-06,-1.31E-05,,,,1,3820,,0.00017832,,12.621,12.091
Altair,97338,97649,187642,7557,Gl 768,53Alp Aql,19.846388,8.868322,5.1295,536.82,385.54,-26.1,0.76,2.21,A7IV-V,0.221,2.355468,-4.4873,0.790749,-1.12E-06,3.09E-05,5.36E-06,5.195772106,0.154781417,2.60E-06,1.87E-06,Alp,53,Aql,1,97338,,11.37627286,Alp,0.803,0.753
82 G. Eri,15471,15510,20794,1008,Gl 139,,3.331944,-43.069784,6.0434,3038.08,726.34,86.7,4.26,5.354,G8V,0.711,2.839238,3.381499,-4.127499,-1.72E-05,0.00011797,-4.50E-05,0.872300799,-0.751709536,1.47E-05,3.52E-06,,,Eri,1,15471,,0.628637088,,,
268 G. Cet,12082,12114,16160,753,Gl 105A,,2.601357,6.88687,7.1803,1806.27,1442.5,26,5.79,6.509,K3V,0.918,5.538462,4.488223,0.861013,-2.37E-05,6.17E-05,5.30E-05,0.681033735,0.120198562,8.76E-06,6.99E-06,,,Cet,1,12082,Gl 105,0.216970155,,,
96 G. Psc,3759,3765,4628,222,Gl 33,,0.806382,5.280615,7.4549,758.04,-1141.22,-10,5.74,6.378,K2V,0.89,7.258368,1.555495,0.686093,-1.20E-05,2.55E-05,-4.20E-05,0.211110319,0.092164116,3.68E-06,-5.53E-06,,,Psc,1,3759,,0.244793567,,,
Vega,90979,91262,172167,7001,Gl 721,3Alp Lyr,18.61564,38.783692,7.6787,201.02,287.46,-12.1,0.03,0.604,A0Vvar,-0.001,0.960565,-5.908009,4.809731,4.76E-06,1.73E-05,5.90E-07,4.873563096,0.676903116,9.75E-07,1.39E-06,Alp,3,Lyr,1,90979,,49.93441887,,,
